CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
JANEQUEO;0;650477;5591596;5.04;7.02;7;0;2;0;0;2;1;0;2;-73.2420000000000;-39.8123055555555
JANEQUEO;-10;650482;5591609;4.96;7.01;0;0;0;0;0;0;0;0;0;-73.2419444444444;-39.8121944444444
JANEQUEO;-30;650480;5591624;4.92;6.99;15;0;3;1;1;5;2;2;1;-73.2419722222222;-39.8120555555555
JANEQUEO;-50;650485;5591646;4.92;6.99;2;2;0;0;0;0;0;0;0;-73.2419166666667;-39.8118611111111
JANEQUEO;-70;650492;5591664;3.88;9.53;1;1;0;0;0;0;0;0;0;-73.2418333333333;-39.8116944444444
JANEQUEO;-90;650473;5591674;5.16;6.57;4;0;2;0;0;2;0;0;0;-73.2420555555555;-39.8116111111110
JANEQUEO;-110;650462;5591689;4.6;6.57;2;0;1;0;1;0;0;0;0;-73.2421944444445;-39.8114722222222
JANEQUEO;-130;650441;5591696;4.72;7.04;2;1;0;0;0;0;1;0;0;-73.2424444444444;-39.8114166666666
JANEQUEO;-150;650424;5591708;5.16;7.01;0;0;0;0;0;0;0;0;0;-73.2426388888889;-39.8113055555555
JANEQUEO;-180;650408;5591721;4.93;7.05;5;1;1;0;0;1;0;0;2;-73.2428333333334;-39.8111944444444
JANEQUEO;-200;650389;5591728;4.94;6.95;3;1;1;0;0;1;0;0;0;-73.2430555555556;-39.8111388888888
JANEQUEO;-220;650372;5591737;7.08;7.72;2;0;1;0;1;0;0;0;0;-73.2432500000000;-39.8110555555555
JANEQUEO;-240;650339;5591738;10.28;6.9;2;0;2;0;0;0;0;0;0;-73.2436388888889;-39.8110555555555
JANEQUEO;-260;650325;5591744;7.02;7.04;0;0;0;0;0;0;0;0;0;-73.2438055555555;-39.8110000000000
JANEQUEO;-280;650311;5591748;10.18;7.25;12;0;6;0;0;2;1;1;2;-73.2439722222223;-39.8109722222222
JANEQUEO;-300;650289;5591751;6.49;7.05;5;0;3;0;0;0;0;2;0;-73.2442222222222;-39.8109444444444
JANEQUEO;-320;650268;5591758;5.08;6.98;0;0;0;0;0;0;0;0;0;-73.2444722222223;-39.8108888888888
JANEQUEO;-340;650247;5591761;6.01;8.65;4;0;0;2;0;1;1;0;0;-73.2447222222222;-39.8108611111111
JANEQUEO;-360;650225;5591762;10.2;6.87;5;0;3;0;0;1;1;0;0;-73.2449722222222;-39.8108611111111
